,countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,country,pdi,idv,mas,uai,ltowvs,ivr,casesPop,logCasesPop,logCasesMPop
0,Zimbabwe,ZWE,2020-04-15,23,3.0,1.0,19,,2.0,0.2,716.0,48.0,11500000,Zimbabwe,,,,,15.0,28.0,2e-06,-13.122363377404328,0.6931471805599453
1,Zambia,ZMB,2020-04-15,48,2.0,30.0,16,1.0,3.0,0.1,1696.0,92.0,16000000,Zambia,60.0,35.0,40.0,50.0,30.0,42.0,3e-06,-12.716898269296165,1.0986122886681098
2,South Africa,ZAF,2020-04-15,2506,34.0,410.0,2062,7.0,42.0,0.6,90515.0,1526.0,59666667,South Africa,49.0,65.0,63.0,49.0,34.0,63.0,4.199999976536313e-05,-10.077840945267498,3.7376696182833684
3,Vietnam,VNM,2020-04-15,268,,171.0,97,8.0,3.0,,135938.0,1397.0,89333333,Vietnam,70.0,20.0,40.0,30.0,57.0,35.0,3.00000001119403e-06,-12.71689826556482,1.0986122886681098
4,Venezuela,VEN,2020-04-15,197,9.0,111.0,77,6.0,7.0,0.3,225009.0,7913.0,28142857,Venezuela,81.0,12.0,73.0,76.0,16.0,100.0,7.000000035532995e-06,-11.869600403832818,1.9459101490553132
5,USA,USA,2020-04-15,644089,28529.0,48708.0,566852,13487.0,1946.0,86.0,3258879.0,9845.0,330980987,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0,0.0019459999978790323,-6.2419792963082354,7.57353126274595
6,Uruguay,URY,2020-04-15,493,9.0,272.0,212,13.0,142.0,3.0,10448.0,3008.0,3471831,Uruguay,61.0,36.0,38.0,100.0,26.0,53.0,0.0001419999994239351,-8.859683504419808,4.955827057601261
7,Ukraine,UKR,2020-04-15,3764,108.0,143.0,3513,45.0,86.0,2.0,39084.0,894.0,43767442,Ukraine,92.0,25.0,27.0,95.0,86.0,14.0,8.59999997258236e-05,-9.361163264898865,4.454347296253507
8,Uganda,UGA,2020-04-15,55,,12.0,43,,1.0,,7693.0,168.0,55000000,Uganda,,,,,24.0,52.0,1e-06,-13.815510557964274,0.0
9,Tanzania,TZA,2020-04-15,88,4.0,11.0,73,,1.0,0.07,,,88000000,Tanzania,70.0,25.0,40.0,5.0,34.0,38.0,1e-06,-13.815510557964274,0.0
10,Turkey,TUR,2020-04-15,69392,1518.0,5674.0,62200,1820.0,823.0,18.0,477716.0,5664.0,84315917,Turkey,66.0,37.0,45.0,85.0,46.0,49.0,0.0008230000036647885,-7.102554352834241,6.71295620067707
11,Trinidad and Tobago,TTO,2020-04-15,114,8.0,20.0,86,,81.0,6.0,1282.0,916.0,1407407,Trinidad and Tobago,47.0,16.0,58.0,55.0,13.0,80.0,8.10000234473752e-05,-9.421061113818109,4.394449154672439
12,Thailand,THA,2020-04-15,2643,43.0,1497.0,1103,61.0,38.0,0.6,100498.0,1440.0,69552632,Thailand,64.0,20.0,34.0,64.0,32.0,45.0,3.799999976995838e-05,-10.177924404291614,3.6375861597263857
13,Taiwan,TAI,2020-04-15,395,6.0,137.0,252,,17.0,0.3,49748.0,2089.0,23235294,Taiwan,58.0,17.0,45.0,69.0,93.0,49.0,1.700000008607595e-05,-10.982297208844766,2.833213344056216
14,Sweden,SWE,2020-04-15,11927,1203.0,381.0,10343,954.0,1181.0,119.0,74600.0,7387.0,10099069,Sweden,31.0,71.0,5.0,29.0,53.0,78.0,0.001180999951579695,-6.741393782766324,7.074116816197362
15,Slovenia,SVN,2020-04-15,1248,61.0,165.0,1022,34.0,600.0,29.0,37114.0,17852.0,2080000,Slovenia,71.0,27.0,19.0,88.0,49.0,48.0,0.0006,-7.418580902748128,6.396929655216146
16,Slovakia,SVK,2020-04-15,863,6.0,151.0,706,5.0,158.0,1.0,31491.0,5768.0,5462025,Slovak Rep,104.0,52.0,110.0,51.0,77.0,28.0,0.0001580000091541141,-8.752915466999879,5.062595033026967
17,Suriname,SUR,2020-04-15,10,1.0,6.0,3,,17.0,2.0,,,588235,Suriname,85.0,47.0,37.0,92.0,,,1.700000850000425e-05,-10.982296713907933,2.833213344056216
18,Serbia,SRB,2020-04-15,4873,99.0,400.0,4374,128.0,558.0,11.0,26278.0,3008.0,8732975,Serbia,86.0,25.0,43.0,92.0,52.0,28.0,0.0005579999942745742,-7.491151605843583,6.324358962381311
19,El Salvador,SLV,2020-04-15,159,6.0,30.0,123,2.0,25.0,0.9,7785.0,1200.0,6360000,El Salvador,66.0,19.0,40.0,94.0,20.0,89.0,2.5e-05,-10.596634733096073,3.2188758248682006
20,Sierra Leone,SLE,2020-04-15,13,,,13,,2.0,,,,6500000,Sierra Leone,70.0,20.0,40.0,50.0,,,2e-06,-13.122363377404328,0.6931471805599453
21,Singapore,SGP,2020-04-15,3699,10.0,652.0,3037,29.0,632.0,2.0,72680.0,12423.0,5852848,Singapore,74.0,20.0,48.0,8.0,72.0,46.0,0.0006320000109348474,-7.366621146515443,6.448889394146858
22,Senegal,SEN,2020-04-15,314,2.0,190.0,122,1.0,19.0,0.1,,,16526316,Senegal,70.0,25.0,45.0,55.0,25.0,,1.8999999757961786e-05,-10.871071591536687,2.9444389791664403
23,Saudi Arabia,SAU,2020-04-15,5862,79.0,931.0,4852,71.0,168.0,2.0,150000.0,4309.0,34892857,Saudi Arabia,95.0,25.0,60.0,80.0,36.0,52.0,0.00016800000068781985,-8.69154657446685,5.123963979403259
24,Rwanda,RWA,2020-04-15,136,,54.0,82,,11.0,,6237.0,482.0,12363636,Rwanda,,,,,18.0,37.0,1.1000000323529421e-05,-11.41761525575414,2.3978952727983707
25,Russia,RUS,2020-04-15,24490,198.0,1986.0,22306,8.0,168.0,1.0,1517992.0,10402.0,145773810,Russia,93.0,39.0,36.0,95.0,81.0,20.0,0.00016799999945120458,-8.691546581827655,5.123963979403259
26,Romania,ROU,2020-04-15,7216,372.0,1217.0,5627,245.0,375.0,19.0,74827.0,3890.0,19242667,Romania,90.0,30.0,42.0,90.0,52.0,20.0,0.00037499999350401895,-7.888584549316479,5.926926025970411
27,Qatar,QAT,2020-04-15,3711,7.0,406.0,3298,37.0,1288.0,2.0,54484.0,18911.0,2881211,Qatar,93.0,25.0,55.0,80.0,,,0.0012880000805216972,-6.654664588783131,7.160845906664299
28,Portugal,PRT,2020-04-15,18091,599.0,383.0,17109,208.0,1774.0,59.0,208314.0,20430.0,10197858,Portugal,63.0,27.0,31.0,104.0,28.0,33.0,0.0017739999909784977,-6.33451840018015,7.480992162869525
29,Poland,POL,2020-04-15,7582,286.0,668.0,6628,160.0,200.0,8.0,156493.0,4135.0,37910000,Poland,68.0,60.0,64.0,93.0,38.0,29.0,0.0002,-8.517193191416238,5.298317366548036
30,Philippines,PHL,2020-04-15,5453,349.0,353.0,4751,1.0,50.0,3.0,45486.0,415.0,109060000,Philippines,94.0,32.0,64.0,44.0,27.0,42.0,5e-05,-9.903487552536127,3.912023005428146
31,Peru,PER,2020-04-15,11475,254.0,3108.0,8113,146.0,348.0,8.0,109385.0,3318.0,32974138,Peru,64.0,16.0,42.0,87.0,25.0,46.0,0.00034799999927215687,-7.963308080281303,5.8522024797744745
32,Panama,PAN,2020-04-15,3751,103.0,75.0,3573,106.0,869.0,24.0,16854.0,3906.0,4316456,Panama,95.0,11.0,44.0,86.0,,,0.000868999938838714,-7.048167503080111,6.767343125265392
33,Pakistan,PAK,2020-04-15,6383,111.0,1446.0,4826,46.0,29.0,0.5,73439.0,332.0,220103448,Pakistan,55.0,14.0,50.0,70.0,50.0,0.0,2.9000000036346546e-05,-10.448214726724471,3.367295829986474
